capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-04-16T20:09:07.779,2,1,NVDA260417C00005000,NVDA,2026-04-17,call,5.0,194.49,62.0,196.57,138.0,195.53,193.79,1.0,,,,,,,2026-04-16,197.61,199.84,195.87,198.26,3.379067e6,198.025577
2026-04-16T20:09:07.779,2,1,NVDA260417C00010000,NVDA,2026-04-17,call,10.0,182.78,59.0,191.0,67.0,186.89,188.2,1.0,,,,,,,2026-04-16,197.61,199.84,195.87,198.26,3.379067e6,198.025577
2026-04-16T20:09:07.779,2,1,NVDA260417C00015000,NVDA,2026-04-17,call,15.0,181.05,54.0,183.07,65.0,182.06,180.01,1.0,,,,,,,2026-04-16,197.61,199.84,195.87,198.26,3.379067e6,198.025577
2026-04-16T20:09:07.779,2,1,NVDA260417C00020000,NVDA,2026-04-17,call,20.0,178.02,78.0,179.02,65.0,178.52,178.12,2.0,,,,,,,2026-04-16,197.61,199.84,195.87,198.26,3.379067e6,198.025577
2026-04-16T20:09:07.779,2,1,NVDA260417C00025000,NVDA,2026-04-17,call,25.0,174.54,58.0,177.49,88.0,176.015,173.0,2.0,,,,,,,2026-04-16,197.61,199.84,195.87,198.26,3.379067e6,198.025577
2026-04-16T20:09:07.779,2,1,NVDA260417C00030000,NVDA,2026-04-17,call,30.0,169.0,61.0,172.35,65.0,170.675,168.97,10.0,,,,,,,2026-04-16,197.61,199.84,195.87,198.26,3.379067e6,198.025577
2026-04-16T20:09:07.779,2,1,NVDA260417C00035000,NVDA,2026-04-17,call,35.0,161.43,62.0,165.03,66.0,163.23000000000002,163.07,10.0,,,,,,,2026-04-16,197.61,199.84,195.87,198.26,3.379067e6,198.025577
2026-04-16T20:09:07.779,2,1,NVDA260417C00040000,NVDA,2026-04-17,call,40.0,154.17,61.0,161.38,68.0,157.77499999999998,158.0,1.0,,,,,,,2026-04-16,197.61,199.84,195.87,198.26,3.379067e6,198.025577
2026-04-16T20:09:07.779,2,1,NVDA260417C00045000,NVDA,2026-04-17,call,45.0,150.34,90.0,152.79,85.0,151.565,153.06,20.0,,,,,,,2026-04-16,197.61,199.84,195.87,198.26,3.379067e6,198.025577
2026-04-16T20:09:07.779,2,1,NVDA260417C00050000,NVDA,2026-04-17,call,50.0,148.13,120.0,149.21,131.0,148.67000000000002,148.48,1.0,,,,,,,2026-04-16,197.61,199.84,195.87,198.26,3.379067e6,198.025577
