capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-04-17T23:56:01.286,2,0,GOOG260417C00125000,GOOG,2026-04-17,call,125.0,213.58,23.0,216.82,1.0,215.2,214.14,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00130000,GOOG,2026-04-17,call,130.0,210.07,41.0,214.12,11.0,212.095,206.75,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00135000,GOOG,2026-04-17,call,135.0,203.48,37.0,207.15,29.0,205.315,205.91,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00140000,GOOG,2026-04-17,call,140.0,200.72,68.0,201.34,42.0,201.03,198.18,5.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00145000,GOOG,2026-04-17,call,145.0,189.65,39.0,199.98,23.0,194.815,193.33,10.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00150000,GOOG,2026-04-17,call,150.0,190.81,62.0,194.16,32.0,192.485,190.81,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00155000,GOOG,2026-04-17,call,155.0,182.27,18.0,182.75,1.0,182.51,186.67,6.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00160000,GOOG,2026-04-17,call,160.0,177.09,27.0,179.37,10.0,178.23000000000002,178.03,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00165000,GOOG,2026-04-17,call,165.0,173.58,31.0,178.26,16.0,175.92000000000002,176.24,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00170000,GOOG,2026-04-17,call,170.0,166.32,42.0,173.62,3.0,169.97,170.16,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00175000,GOOG,2026-04-17,call,175.0,162.42,30.0,166.38,10.0,164.39999999999998,164.3,5.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00180000,GOOG,2026-04-17,call,180.0,157.8,33.0,159.73,24.0,158.765,156.35,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00185000,GOOG,2026-04-17,call,185.0,155.31,15.0,157.81,1.0,156.56,152.38,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00190000,GOOG,2026-04-17,call,190.0,149.16,31.0,151.89,12.0,150.52499999999998,148.21,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00195000,GOOG,2026-04-17,call,195.0,141.2,68.0,144.35,54.0,142.77499999999998,144.77,2.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00200000,GOOG,2026-04-17,call,200.0,136.5,53.0,141.19,53.0,138.845,139.35,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00205000,GOOG,2026-04-17,call,205.0,132.34,41.0,135.33,30.0,133.835,129.32,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00210000,GOOG,2026-04-17,call,210.0,126.17,20.0,131.36,42.0,128.76500000000001,125.5,4.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00215000,GOOG,2026-04-17,call,215.0,124.44,54.0,124.91,15.0,124.675,123.15,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00220000,GOOG,2026-04-17,call,220.0,116.79,30.0,122.2,16.0,119.495,119.25,2.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00225000,GOOG,2026-04-17,call,225.0,111.38,32.0,118.15,27.0,114.765,114.32,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00230000,GOOG,2026-04-17,call,230.0,106.32,28.0,111.9,15.0,109.11,109.48,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00235000,GOOG,2026-04-17,call,235.0,100.6,53.0,108.15,53.0,104.375,104.47,4.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00240000,GOOG,2026-04-17,call,240.0,96.1,60.0,101.62,55.0,98.86,98.18,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00245000,GOOG,2026-04-17,call,245.0,94.18,30.0,94.79,16.0,94.48500000000001,94.25,6.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00250000,GOOG,2026-04-17,call,250.0,87.08,87.0,90.39,45.0,88.735,89.35,3.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00255000,GOOG,2026-04-17,call,255.0,82.64,32.0,86.19,19.0,84.41499999999999,84.16,10.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00260000,GOOG,2026-04-17,call,260.0,76.0,25.0,79.12,33.0,77.56,78.95,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00265000,GOOG,2026-04-17,call,265.0,73.55,36.0,75.62,37.0,74.58500000000001,74.4,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00267500,GOOG,2026-04-17,call,267.5,69.41,25.0,74.94,5.0,72.175,70.64,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00270000,GOOG,2026-04-17,call,270.0,69.69,40.0,71.25,18.0,70.47,69.85,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00272500,GOOG,2026-04-17,call,272.5,64.209,36.0,68.99,3.0,66.5995,62.04,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00275000,GOOG,2026-04-17,call,275.0,62.95,49.0,66.34,44.0,64.64500000000001,64.43,3.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00277500,GOOG,2026-04-17,call,277.5,59.86,17.0,62.8,20.0,61.33,57.09,7.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00280000,GOOG,2026-04-17,call,280.0,57.06,36.0,60.87,28.0,58.965,60.2,2.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00282500,GOOG,2026-04-17,call,282.5,56.36,61.0,59.95,58.0,58.155,56.59,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00285000,GOOG,2026-04-17,call,285.0,53.09,46.0,54.92,9.0,54.005,53.95,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00287500,GOOG,2026-04-17,call,287.5,51.93,72.0,53.39,37.0,52.66,52.09,74.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00290000,GOOG,2026-04-17,call,290.0,49.97,54.0,51.15,43.0,50.56,49.97,5.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00292500,GOOG,2026-04-17,call,292.5,45.26,42.0,48.73,33.0,46.995,47.06,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00295000,GOOG,2026-04-17,call,295.0,43.73,62.0,45.19,51.0,44.459999999999994,43.95,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00297500,GOOG,2026-04-17,call,297.5,41.38,87.0,43.19,45.0,42.285,41.55,4.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
2026-04-17T23:56:01.286,2,0,GOOG260417C00300000,GOOG,2026-04-17,call,300.0,39.32,94.0,40.16,269.0,39.739999999999995,39.4,1.0,,,,,,,2026-04-17,334.7,339.965,333.325,339.34,368307.0,337.166698
