capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-04-21T20:39:48.515,2,3,WMT260424C00065000,WMT,2026-04-24,call,65.0,64.33,131.0,66.18,48.0,65.255,63.75,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00070000,WMT,2026-04-24,call,70.0,58.54,131.0,60.43,59.0,59.485,58.79,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00075000,WMT,2026-04-24,call,75.0,51.95,136.0,57.2,60.0,54.575,52.98,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00080000,WMT,2026-04-24,call,80.0,48.3,143.0,50.52,44.0,49.41,48.23,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00085000,WMT,2026-04-24,call,85.0,42.26,132.0,46.06,68.0,44.16,43.76,11.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00090000,WMT,2026-04-24,call,90.0,37.98,136.0,41.04,22.0,39.51,38.21,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00095000,WMT,2026-04-24,call,95.0,32.96,124.0,34.55,16.0,33.754999999999995,30.5,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00100000,WMT,2026-04-24,call,100.0,27.71,126.0,30.6,25.0,29.155,27.7,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00105000,WMT,2026-04-24,call,105.0,23.09,124.0,25.23,24.0,24.16,23.2,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00108000,WMT,2026-04-24,call,108.0,20.39,125.0,22.25,22.0,21.32,20.1,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00109000,WMT,2026-04-24,call,109.0,19.06,130.0,21.65,20.0,20.354999999999997,20.02,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00110000,WMT,2026-04-24,call,110.0,17.82,395.0,20.47,47.0,19.145,19.11,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00111000,WMT,2026-04-24,call,111.0,17.28,134.0,18.81,11.0,18.045,17.99,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00112000,WMT,2026-04-24,call,112.0,15.99,124.0,18.28,22.0,17.135,17.08,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00113000,WMT,2026-04-24,call,113.0,15.23,131.0,17.08,16.0,16.155,16.13,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00114000,WMT,2026-04-24,call,114.0,14.37,124.0,16.56,21.0,15.465,14.48,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00115000,WMT,2026-04-24,call,115.0,13.66,447.0,15.58,124.0,14.620000000000001,14.18,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00116000,WMT,2026-04-24,call,116.0,12.25,188.0,14.53,100.0,13.39,13.27,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00117000,WMT,2026-04-24,call,117.0,12.42,105.0,13.23,13.0,12.825,12.16,1.0,0.7125,0.9474,0.0128,-0.1607,0.0126,0.009,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00118000,WMT,2026-04-24,call,118.0,11.13,486.0,12.32,122.0,11.725000000000001,11.35,1.0,0.5736,0.9667,0.011,-0.0945,0.0087,0.0093,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
2026-04-21T20:39:48.515,2,3,WMT260424C00119000,WMT,2026-04-24,call,119.0,9.56,177.0,11.35,91.0,10.455,10.57,1.0,,,,,,,2026-04-21,127.83,129.755,127.5,129.53,465990.0,129.054777
