capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-04-24T13:21:27.862,2,0,MSFT260424C00270000,MSFT,2026-04-24,call,270.0,145.96,107.0,145.99,99.0,145.97500000000002,145.96,1.0,,,,,,,2026-04-23,419.43,423.3,411.42,415.715,852187.0,418.229453
2026-04-24T13:21:27.862,2,0,MSFT260424C00280000,MSFT,2026-04-24,call,280.0,136.88,116.0,139.98,119.0,138.43,136.88,1.0,,,,,,,2026-04-23,419.43,423.3,411.42,415.715,852187.0,418.229453
2026-04-24T13:21:27.862,2,0,MSFT260424C00290000,MSFT,2026-04-24,call,290.0,124.08,113.0,129.32,117.0,126.69999999999999,124.97,1.0,,,,,,,2026-04-23,419.43,423.3,411.42,415.715,852187.0,418.229453
2026-04-24T13:21:27.862,2,0,MSFT260424C00300000,MSFT,2026-04-24,call,300.0,115.83,116.0,119.66,121.0,117.745,114.81,1.0,,,,,,,2026-04-23,419.43,423.3,411.42,415.715,852187.0,418.229453
2026-04-24T13:21:27.862,2,0,MSFT260424C00305000,MSFT,2026-04-24,call,305.0,111.03,37.0,112.79,203.0,111.91,111.03,1.0,,,,,,,2026-04-23,419.43,423.3,411.42,415.715,852187.0,418.229453
2026-04-24T13:21:27.862,2,0,MSFT260424C00310000,MSFT,2026-04-24,call,310.0,105.08,100.0,107.63,100.0,106.35499999999999,104.77,1.0,,,,,,,2026-04-23,419.43,423.3,411.42,415.715,852187.0,418.229453
2026-04-24T13:21:27.862,2,0,MSFT260424C00315000,MSFT,2026-04-24,call,315.0,101.27,116.0,102.05,104.0,101.66,100.09,1.0,,,,,,,2026-04-23,419.43,423.3,411.42,415.715,852187.0,418.229453
2026-04-24T13:21:27.862,2,0,MSFT260424C00320000,MSFT,2026-04-24,call,320.0,94.07,122.0,96.66,126.0,95.365,96.06,1.0,,,,,,,2026-04-23,419.43,423.3,411.42,415.715,852187.0,418.229453
2026-04-24T13:21:27.862,2,0,MSFT260424C00325000,MSFT,2026-04-24,call,325.0,88.18,113.0,91.01,122.0,89.595,89.82,1.0,,,,,,,2026-04-23,419.43,423.3,411.42,415.715,852187.0,418.229453
2026-04-24T13:21:27.862,2,0,MSFT260424C00330000,MSFT,2026-04-24,call,330.0,83.44,109.0,87.79,122.0,85.61500000000001,86.28,1.0,,,,,,,2026-04-23,419.43,423.3,411.42,415.715,852187.0,418.229453
