capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-04-24T20:33:30.848,2,0,BMY260424C00035000,BMY,2026-04-24,call,35.0,22.76,222.0,24.07,126.0,23.415,23.5,1.0,,,,,,,2026-04-24,58.88,59.17,58.355,58.72,421579.0,58.794726
2026-04-24T20:33:30.848,2,0,BMY260424C00040000,BMY,2026-04-24,call,40.0,18.21,370.0,18.92,312.0,18.565,18.57,1.0,,,,,,,2026-04-24,58.88,59.17,58.355,58.72,421579.0,58.794726
2026-04-24T20:33:30.848,2,0,BMY260424C00045000,BMY,2026-04-24,call,45.0,13.5,181.0,14.13,77.0,13.815000000000001,14.1,1.0,,,,,,,2026-04-24,58.88,59.17,58.355,58.72,421579.0,58.794726
2026-04-24T20:33:30.848,2,0,BMY260424C00046000,BMY,2026-04-24,call,46.0,12.29,165.0,12.73,64.0,12.51,12.31,1.0,,,,,,,2026-04-24,58.88,59.17,58.355,58.72,421579.0,58.794726
2026-04-24T20:33:30.848,2,0,BMY260424C00047000,BMY,2026-04-24,call,47.0,11.39,220.0,12.04,71.0,11.715,11.42,1.0,,,,,,,2026-04-24,58.88,59.17,58.355,58.72,421579.0,58.794726
2026-04-24T20:33:30.848,2,0,BMY260424C00048000,BMY,2026-04-24,call,48.0,9.67,246.0,11.49,216.0,10.58,10.37,1.0,,,,,,,2026-04-24,58.88,59.17,58.355,58.72,421579.0,58.794726
2026-04-24T20:33:30.848,2,0,BMY260424C00049000,BMY,2026-04-24,call,49.0,8.36,166.0,10.26,167.0,9.309999999999999,9.37,1.0,,,,,,,2026-04-24,58.88,59.17,58.355,58.72,421579.0,58.794726
2026-04-24T20:33:30.848,2,0,BMY260424C00050000,BMY,2026-04-24,call,50.0,7.91,226.0,10.39,216.0,9.15,8.46,1.0,,,,,,,2026-04-24,58.88,59.17,58.355,58.72,421579.0,58.794726
2026-04-24T20:33:30.848,2,0,BMY260424C00051000,BMY,2026-04-24,call,51.0,6.78,204.0,8.33,146.0,7.555,7.56,1.0,,,,,,,2026-04-24,58.88,59.17,58.355,58.72,421579.0,58.794726
2026-04-24T20:33:30.848,2,0,BMY260424C00052000,BMY,2026-04-24,call,52.0,5.93,221.0,7.52,172.0,6.725,6.66,1.0,,,,,,,2026-04-24,58.88,59.17,58.355,58.72,421579.0,58.794726
2026-04-24T20:33:30.848,2,0,BMY260424C00053000,BMY,2026-04-24,call,53.0,5.23,212.0,6.06,73.0,5.645,5.75,1.0,,,,,,,2026-04-24,58.88,59.17,58.355,58.72,421579.0,58.794726
2026-04-24T20:33:30.848,2,0,BMY260424C00054000,BMY,2026-04-24,call,54.0,4.23,160.0,4.94,80.0,4.585000000000001,5.75,1.0,,,,,,,2026-04-24,58.88,59.17,58.355,58.72,421579.0,58.794726
2026-04-24T20:33:30.848,2,0,BMY260424C00055000,BMY,2026-04-24,call,55.0,3.33,186.0,3.93,70.0,3.63,3.99,1.0,,,,,,,2026-04-24,58.88,59.17,58.355,58.72,421579.0,58.794726
