capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-05-07T00:27:14.251,2,2,GS260508C00480000,GS,2026-05-08,call,480.0,461.99,16.0,467.79,16.0,464.89,440.05,1.0,,,,,,,2026-05-06,936.495,943.56,932.11,937.475,99711.0,938.419203
2026-05-07T00:27:14.251,2,2,GS260508C00490000,GS,2026-05-08,call,490.0,440.82,12.0,453.33,23.0,447.075,430.06,1.0,,,,,,,2026-05-06,936.495,943.56,932.11,937.475,99711.0,938.419203
2026-05-07T00:27:14.251,2,2,GS260508C00500000,GS,2026-05-08,call,500.0,437.95,16.0,449.07,21.0,443.51,,,,,,,,,2026-05-06,936.495,943.56,932.11,937.475,99711.0,938.419203
2026-05-07T00:27:14.251,2,2,GS260508C00510000,GS,2026-05-08,call,510.0,426.27,16.0,436.52,21.0,431.395,,,,,,,,,2026-05-06,936.495,943.56,932.11,937.475,99711.0,938.419203
2026-05-07T00:27:14.251,2,2,GS260508C00520000,GS,2026-05-08,call,520.0,416.39,11.0,425.29,14.0,420.84000000000003,,,,,,,,,2026-05-06,936.495,943.56,932.11,937.475,99711.0,938.419203
2026-05-07T00:27:14.251,2,2,GS260508C00530000,GS,2026-05-08,call,530.0,409.18,5.0,414.73,18.0,411.95500000000004,,,,,,,,,2026-05-06,936.495,943.56,932.11,937.475,99711.0,938.419203
2026-05-07T00:27:14.251,2,2,GS260508C00540000,GS,2026-05-08,call,540.0,388.86,16.0,403.59,21.0,396.225,,,,,,,,,2026-05-06,936.495,943.56,932.11,937.475,99711.0,938.419203
2026-05-07T00:27:14.251,2,2,GS260508C00550000,GS,2026-05-08,call,550.0,384.83,16.0,390.48,17.0,387.655,,,,,,,,,2026-05-06,936.495,943.56,932.11,937.475,99711.0,938.419203
2026-05-07T00:27:14.251,2,2,GS260508C00560000,GS,2026-05-08,call,560.0,382.77,12.0,382.86,14.0,382.815,,,,,,,,,2026-05-06,936.495,943.56,932.11,937.475,99711.0,938.419203
2026-05-07T00:27:14.251,2,2,GS260508C00570000,GS,2026-05-08,call,570.0,370.49,17.0,371.08,14.0,370.78499999999997,,,,,,,,,2026-05-06,936.495,943.56,932.11,937.475,99711.0,938.419203
2026-05-07T00:27:14.251,2,2,GS260508C00580000,GS,2026-05-08,call,580.0,360.25,7.0,366.3,14.0,363.275,,,,,,,,,2026-05-06,936.495,943.56,932.11,937.475,99711.0,938.419203
2026-05-07T00:27:14.251,2,2,GS260508C00590000,GS,2026-05-08,call,590.0,350.31,8.0,355.82,12.0,353.065,,,,,,,,,2026-05-06,936.495,943.56,932.11,937.475,99711.0,938.419203
2026-05-07T00:27:14.251,2,2,GS260508C00600000,GS,2026-05-08,call,600.0,337.46,16.0,343.59,21.0,340.525,305.65,1.0,,,,,,,2026-05-06,936.495,943.56,932.11,937.475,99711.0,938.419203
2026-05-07T00:27:14.251,2,2,GS260508C00610000,GS,2026-05-08,call,610.0,330.2,16.0,333.6,21.0,331.9,,,,,,,,,2026-05-06,936.495,943.56,932.11,937.475,99711.0,938.419203
2026-05-07T00:27:14.251,2,2,GS260508C00620000,GS,2026-05-08,call,620.0,316.24,16.0,321.26,25.0,318.75,,,,,,,,,2026-05-06,936.495,943.56,932.11,937.475,99711.0,938.419203
