capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-04-20T23:11:31.429,2,4,WMT260424C00065000,WMT,2026-04-24,call,65.0,61.54,157.0,63.68,30.0,62.61,62.46,37.0,,,,,,,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00070000,WMT,2026-04-24,call,70.0,57.35,220.0,59.61,32.0,58.480000000000004,57.46,37.0,,,,,,,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00075000,WMT,2026-04-24,call,75.0,51.74,226.0,54.61,87.0,53.175,52.76,38.0,,,,,,,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00080000,WMT,2026-04-24,call,80.0,47.94,148.0,48.28,28.0,48.11,47.94,38.0,,,,,,,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00085000,WMT,2026-04-24,call,85.0,41.98,127.0,43.72,23.0,42.849999999999994,43.34,1.0,,,,,,,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00090000,WMT,2026-04-24,call,90.0,37.58,400.0,37.97,29.0,37.775,38.21,1.0,,,,,,,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00095000,WMT,2026-04-24,call,95.0,31.7,127.0,33.39,21.0,32.545,30.5,1.0,,,,,,,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00100000,WMT,2026-04-24,call,100.0,27.03,165.0,28.59,42.0,27.810000000000002,27.86,1.0,,,,,,,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00105000,WMT,2026-04-24,call,105.0,22.38,122.0,23.45,16.0,22.915,23.2,1.0,0.7475,0.9948,0.0015,-0.0292,0.002,0.0114,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00108000,WMT,2026-04-24,call,108.0,19.17,164.0,20.79,36.0,19.98,20.1,1.0,0.8026,0.9801,0.0045,-0.0753,0.0065,0.0115,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00109000,WMT,2026-04-24,call,109.0,18.13,426.0,20.4,44.0,19.265,18.95,1.0,1.0167,0.9402,0.0087,-0.2123,0.0159,0.0111,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00110000,WMT,2026-04-24,call,110.0,17.17,241.0,19.01,145.0,18.090000000000003,18.02,1.0,0.8455,0.9598,0.0076,-0.1329,0.0116,0.0115,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00111000,WMT,2026-04-24,call,111.0,16.079,414.0,18.21,67.0,17.1445,17.12,1.0,0.8457,0.9501,0.0091,-0.1561,0.0138,0.0114,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00112000,WMT,2026-04-24,call,112.0,15.27,126.0,17.12,12.0,16.195,16.07,1.0,0.8357,0.9408,0.0105,-0.1751,0.0158,0.0114,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00113000,WMT,2026-04-24,call,113.0,14.06,135.0,16.059,7.0,15.0595,15.18,1.0,0.6947,0.9591,0.0094,-0.1127,0.0117,0.0118,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00114000,WMT,2026-04-24,call,114.0,12.6,183.0,14.98,29.0,13.79,14.02,1.0,,,,,,,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00115000,WMT,2026-04-24,call,115.0,12.24,266.0,14.06,138.0,13.15,13.07,1.0,0.675,0.9383,0.0135,-0.1482,0.0163,0.0117,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00116000,WMT,2026-04-24,call,116.0,12.02,42.0,12.08,42.0,12.05,12.18,1.0,0.5648,0.9537,0.0128,-0.1025,0.013,0.012,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00117000,WMT,2026-04-24,call,117.0,10.51,131.0,12.28,24.0,11.395,8.02,1.0,0.7026,0.8941,0.0195,-0.2253,0.0245,0.0113,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00118000,WMT,2026-04-24,call,118.0,9.1,148.0,11.01,37.0,10.055,11.2,1.0,0.4869,0.946,0.0168,-0.1003,0.0147,0.0122,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00119000,WMT,2026-04-24,call,119.0,8.35,516.0,10.28,41.0,9.315,9.05,2.0,0.5727,0.8914,0.0243,-0.189,0.0249,0.0115,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
2026-04-20T23:11:31.429,2,4,WMT260424C00120000,WMT,2026-04-24,call,120.0,7.82,37.0,8.5,286.0,8.16,8.56,1.0,0.4594,0.9116,0.0261,-0.1339,0.0214,0.0119,2026-04-20,127.92,129.47,127.45,127.94,567709.0,128.126419
