capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-05-13T20:31:53.931,2,2,ABBV260515C00115000,ABBV,2026-05-15,call,115.0,92.02,16.0,96.23,14.0,94.125,88.06,1.0,,,,,,,2026-05-13,207.235,209.32,204.39,208.51,294068.0,207.323552
2026-05-13T20:31:53.931,2,2,ABBV260515C00120000,ABBV,2026-05-15,call,120.0,85.67,15.0,91.23,14.0,88.45,83.08,1.0,,,,,,,2026-05-13,207.235,209.32,204.39,208.51,294068.0,207.323552
2026-05-13T20:31:53.931,2,2,ABBV260515C00125000,ABBV,2026-05-15,call,125.0,83.42,16.0,84.06,9.0,83.74000000000001,85.1,2.0,,,,,,,2026-05-13,207.235,209.32,204.39,208.51,294068.0,207.323552
2026-05-13T20:31:53.931,2,2,ABBV260515C00130000,ABBV,2026-05-15,call,130.0,78.39,22.0,80.06,19.0,79.225,79.09,1.0,,,,,,,2026-05-13,207.235,209.32,204.39,208.51,294068.0,207.323552
2026-05-13T20:31:53.931,2,2,ABBV260515C00135000,ABBV,2026-05-15,call,135.0,70.79,19.0,74.43,19.0,72.61000000000001,,,,,,,,,2026-05-13,207.235,209.32,204.39,208.51,294068.0,207.323552
2026-05-13T20:31:53.931,2,2,ABBV260515C00140000,ABBV,2026-05-15,call,140.0,68.13,18.0,71.02,8.0,69.57499999999999,,,,,,,,,2026-05-13,207.235,209.32,204.39,208.51,294068.0,207.323552
2026-05-13T20:31:53.931,2,2,ABBV260515C00145000,ABBV,2026-05-15,call,145.0,62.98,2.0,66.6,3.0,64.78999999999999,,,,,,,,,2026-05-13,207.235,209.32,204.39,208.51,294068.0,207.323552
2026-05-13T20:31:53.931,2,2,ABBV260515C00150000,ABBV,2026-05-15,call,150.0,56.75,19.0,59.06,20.0,57.905,53.15,1.0,,,,,,,2026-05-13,207.235,209.32,204.39,208.51,294068.0,207.323552
2026-05-13T20:31:53.931,2,2,ABBV260515C00155000,ABBV,2026-05-15,call,155.0,51.42,4.0,55.11,4.0,53.265,54.25,10.0,,,,,,,2026-05-13,207.235,209.32,204.39,208.51,294068.0,207.323552
2026-05-13T20:31:53.931,2,2,ABBV260515C00160000,ABBV,2026-05-15,call,160.0,46.16,26.0,51.01,12.0,48.584999999999994,49.25,20.0,,,,,,,2026-05-13,207.235,209.32,204.39,208.51,294068.0,207.323552
2026-05-13T20:31:53.931,2,2,ABBV260515C00165000,ABBV,2026-05-15,call,165.0,42.42,22.0,45.19,25.0,43.805,39.88,1.0,,,,,,,2026-05-13,207.235,209.32,204.39,208.51,294068.0,207.323552
2026-05-13T20:31:53.931,2,2,ABBV260515C00170000,ABBV,2026-05-15,call,170.0,37.33,16.0,40.27,10.0,38.8,42.24,5.0,,,,,,,2026-05-13,207.235,209.32,204.39,208.51,294068.0,207.323552
