capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-05-15T20:34:56.306,2,0,IWM260515C00120000,IWM,2026-05-15,call,120.0,158.82,10.0,158.94,1.0,158.88,128.259,2.0,,,,,,,2026-05-15,280.3,280.31,277.24,277.67,1.184194e6,278.248601
2026-05-15T20:34:56.306,2,0,IWM260515C00125000,IWM,2026-05-15,call,125.0,152.51,1.0,152.63,1.0,152.57,150.38,10.0,,,,,,,2026-05-15,280.3,280.31,277.24,277.67,1.184194e6,278.248601
2026-05-15T20:34:56.306,2,0,IWM260515C00130000,IWM,2026-05-15,call,130.0,149.22,10.0,149.34,1.0,149.28,116.7,1.0,,,,,,,2026-05-15,280.3,280.31,277.24,277.67,1.184194e6,278.248601
2026-05-15T20:34:56.306,2,0,IWM260515C00135000,IWM,2026-05-15,call,135.0,142.72,10.0,144.75,1.0,143.735,,,,,,,,,2026-05-15,280.3,280.31,277.24,277.67,1.184194e6,278.248601
2026-05-15T20:34:56.306,2,0,IWM260515C00140000,IWM,2026-05-15,call,140.0,139.03,10.0,139.15,1.0,139.09,,,,,,,,,2026-05-15,280.3,280.31,277.24,277.67,1.184194e6,278.248601
2026-05-15T20:34:56.306,2,0,IWM260515C00145000,IWM,2026-05-15,call,145.0,130.59,10.0,133.96,1.0,132.275,137.79,1.0,,,,,,,2026-05-15,280.3,280.31,277.24,277.67,1.184194e6,278.248601
2026-05-15T20:34:56.306,2,0,IWM260515C00150000,IWM,2026-05-15,call,150.0,127.88,10.0,128.24,1.0,128.06,118.57,2.0,,,,,,,2026-05-15,280.3,280.31,277.24,277.67,1.184194e6,278.248601
2026-05-15T20:34:56.306,2,0,IWM260515C00155000,IWM,2026-05-15,call,155.0,121.25,10.0,124.86,1.0,123.055,115.95,2.0,,,,,,,2026-05-15,280.3,280.31,277.24,277.67,1.184194e6,278.248601
2026-05-15T20:34:56.306,2,0,IWM260515C00160000,IWM,2026-05-15,call,160.0,119.68,10.0,119.8,1.0,119.74000000000001,111.19,1.0,,,,,,,2026-05-15,280.3,280.31,277.24,277.67,1.184194e6,278.248601
2026-05-15T20:34:56.306,2,0,IWM260515C00165000,IWM,2026-05-15,call,165.0,112.56,13.0,114.77,1.0,113.66499999999999,113.21,1.0,,,,,,,2026-05-15,280.3,280.31,277.24,277.67,1.184194e6,278.248601
2026-05-15T20:34:56.306,2,0,IWM260515C00170000,IWM,2026-05-15,call,170.0,106.89,10.0,108.91,1.0,107.9,111.0,1.0,,,,,,,2026-05-15,280.3,280.31,277.24,277.67,1.184194e6,278.248601
2026-05-15T20:34:56.306,2,0,IWM260515C00175000,IWM,2026-05-15,call,175.0,104.3,10.0,104.42,1.0,104.36,95.31,2.0,,,,,,,2026-05-15,280.3,280.31,277.24,277.67,1.184194e6,278.248601
2026-05-15T20:34:56.306,2,0,IWM260515C00180000,IWM,2026-05-15,call,180.0,97.62,10.0,98.56,1.0,98.09,103.35,2.0,,,,,,,2026-05-15,280.3,280.31,277.24,277.67,1.184194e6,278.248601
2026-05-15T20:34:56.306,2,0,IWM260515C00185000,IWM,2026-05-15,call,185.0,91.5,1.0,91.9,1.0,91.7,94.0,10.0,,,,,,,2026-05-15,280.3,280.31,277.24,277.67,1.184194e6,278.248601
2026-05-15T20:34:56.306,2,0,IWM260515C00188000,IWM,2026-05-15,call,188.0,91.07,10.0,91.2,1.0,91.13499999999999,88.63,1.0,,,,,,,2026-05-15,280.3,280.31,277.24,277.67,1.184194e6,278.248601
