capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-06-15T20:34:11.621,2,3,XOM260618C00050000,XOM,2026-06-18,call,50.0,91.85,80.0,93.06,31.0,92.455,91.55,1.0,,,,,,,2026-06-15,139.535,141.98,137.76,140.87,1.028333e6,140.726565
2026-06-15T20:34:11.621,2,3,XOM260618C00055000,XOM,2026-06-18,call,55.0,84.54,81.0,85.34,37.0,84.94,86.2,2.0,,,,,,,2026-06-15,139.535,141.98,137.76,140.87,1.028333e6,140.726565
2026-06-15T20:34:11.621,2,3,XOM260618C00060000,XOM,2026-06-18,call,60.0,81.59,93.0,83.64,62.0,82.61500000000001,80.95,1.0,,,,,,,2026-06-15,139.535,141.98,137.76,140.87,1.028333e6,140.726565
2026-06-15T20:34:11.621,2,3,XOM260618C00065000,XOM,2026-06-18,call,65.0,74.96,170.0,77.28,60.0,76.12,87.2,100.0,,,,,,,2026-06-15,139.535,141.98,137.76,140.87,1.028333e6,140.726565
2026-06-15T20:34:11.621,2,3,XOM260618C00070000,XOM,2026-06-18,call,70.0,71.15,83.0,72.34,60.0,71.745,82.11,100.0,,,,,,,2026-06-15,139.535,141.98,137.76,140.87,1.028333e6,140.726565
2026-06-15T20:34:11.621,2,3,XOM260618C00075000,XOM,2026-06-18,call,75.0,64.769,273.0,67.06,164.0,65.9145,65.82,2.0,,,,,,,2026-06-15,139.535,141.98,137.76,140.87,1.028333e6,140.726565
2026-06-15T20:34:11.621,2,3,XOM260618C00080000,XOM,2026-06-18,call,80.0,60.08,258.0,61.97,153.0,61.025,61.1,2.0,,,,,,,2026-06-15,139.535,141.98,137.76,140.87,1.028333e6,140.726565
2026-06-15T20:34:11.621,2,3,XOM260618C00085000,XOM,2026-06-18,call,85.0,56.12,176.0,57.98,119.0,57.05,68.74,1.0,,,,,,,2026-06-15,139.535,141.98,137.76,140.87,1.028333e6,140.726565
2026-06-15T20:34:11.621,2,3,XOM260618C00090000,XOM,2026-06-18,call,90.0,49.14,317.0,51.73,144.0,50.435,63.74,1.0,,,,,,,2026-06-15,139.535,141.98,137.76,140.87,1.028333e6,140.726565
2026-06-15T20:34:11.621,2,3,XOM260618C00095000,XOM,2026-06-18,call,95.0,44.6,226.0,46.95,127.0,45.775000000000006,56.19,5.0,,,,,,,2026-06-15,139.535,141.98,137.76,140.87,1.028333e6,140.726565
2026-06-15T20:34:11.621,2,3,XOM260618C00100000,XOM,2026-06-18,call,100.0,39.95,121.0,42.85,104.0,41.400000000000006,54.5,1.0,,,,,,,2026-06-15,139.535,141.98,137.76,140.87,1.028333e6,140.726565
2026-06-15T20:34:11.621,2,3,XOM260618C00105000,XOM,2026-06-18,call,105.0,35.46,231.0,36.64,138.0,36.05,45.03,1.0,,,,,,,2026-06-15,139.535,141.98,137.76,140.87,1.028333e6,140.726565
2026-06-15T20:34:11.621,2,3,XOM260618C00110000,XOM,2026-06-18,call,110.0,30.02,279.0,32.75,204.0,31.384999999999998,28.58,1.0,,,,,,,2026-06-15,139.535,141.98,137.76,140.87,1.028333e6,140.726565
2026-06-15T20:34:11.621,2,3,XOM260618C00115000,XOM,2026-06-18,call,115.0,25.02,277.0,27.12,285.0,26.07,23.68,1.0,,,,,,,2026-06-15,139.535,141.98,137.76,140.87,1.028333e6,140.726565
2026-06-15T20:34:11.621,2,3,XOM260618C00120000,XOM,2026-06-18,call,120.0,20.49,320.0,22.46,422.0,21.475,19.96,1.0,,,,,,,2026-06-15,139.535,141.98,137.76,140.87,1.028333e6,140.726565
2026-06-15T20:34:11.621,2,3,XOM260618C00125000,XOM,2026-06-18,call,125.0,15.55,318.0,17.23,428.0,16.39,16.7,1.0,0.9143,0.9329,0.0111,-0.2645,0.0166,0.0095,2026-06-15,139.535,141.98,137.76,140.87,1.028333e6,140.726565
