capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-06-22T20:33:57.261,2,4,WFC260626C00050000,WFC,2026-06-26,call,50.0,33.01,107.0,35.46,15.0,34.235,,,,,,,,,2026-06-22,82.715,84.13,82.685,83.855,2.266179e6,83.662097
2026-06-22T20:33:57.261,2,4,WFC260626C00055000,WFC,2026-06-26,call,55.0,27.89,110.0,29.92,35.0,28.905,,,,,,,,,2026-06-22,82.715,84.13,82.685,83.855,2.266179e6,83.662097
2026-06-22T20:33:57.261,2,4,WFC260626C00060000,WFC,2026-06-26,call,60.0,22.67,109.0,24.68,10.0,23.675,,,,,,,,,2026-06-22,82.715,84.13,82.685,83.855,2.266179e6,83.662097
2026-06-22T20:33:57.261,2,4,WFC260626C00062000,WFC,2026-06-26,call,62.0,21.01,109.0,22.85,10.0,21.93,21.07,1.0,,,,,,,2026-06-22,82.715,84.13,82.685,83.855,2.266179e6,83.662097
2026-06-22T20:33:57.261,2,4,WFC260626C00063000,WFC,2026-06-26,call,63.0,19.64,109.0,22.12,24.0,20.880000000000003,20.11,1.0,,,,,,,2026-06-22,82.715,84.13,82.685,83.855,2.266179e6,83.662097
2026-06-22T20:33:57.261,2,4,WFC260626C00064000,WFC,2026-06-26,call,64.0,18.43,108.0,20.96,10.0,19.695,19.13,1.0,,,,,,,2026-06-22,82.715,84.13,82.685,83.855,2.266179e6,83.662097
2026-06-22T20:33:57.261,2,4,WFC260626C00065000,WFC,2026-06-26,call,65.0,17.49,109.0,19.34,10.0,18.415,18.6,1.0,,,,,,,2026-06-22,82.715,84.13,82.685,83.855,2.266179e6,83.662097
2026-06-22T20:33:57.261,2,4,WFC260626C00066000,WFC,2026-06-26,call,66.0,16.72,108.0,18.71,10.0,17.715,17.65,1.0,,,,,,,2026-06-22,82.715,84.13,82.685,83.855,2.266179e6,83.662097
2026-06-22T20:33:57.261,2,4,WFC260626C00067000,WFC,2026-06-26,call,67.0,15.68,197.0,17.36,35.0,16.52,18.39,1.0,,,,,,,2026-06-22,82.715,84.13,82.685,83.855,2.266179e6,83.662097
2026-06-22T20:33:57.261,2,4,WFC260626C00068000,WFC,2026-06-26,call,68.0,14.68,109.0,16.41,10.0,15.545,15.66,1.0,,,,,,,2026-06-22,82.715,84.13,82.685,83.855,2.266179e6,83.662097
