capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-06-25T20:31:37.898,2,1,NVDA260626C00050000,NVDA,2026-06-26,call,50.0,141.3,2.0,146.21,2.0,143.755,144.88,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00055000,NVDA,2026-06-26,call,55.0,138.77,2.0,142.4,2.0,140.585,139.61,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00060000,NVDA,2026-06-26,call,60.0,132.67,139.0,139.85,1.0,136.26,134.48,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00065000,NVDA,2026-06-26,call,65.0,127.0,24.0,133.66,20.0,130.32999999999998,129.42,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00070000,NVDA,2026-06-26,call,70.0,124.25,7.0,129.979,1.0,127.1145,124.91,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00075000,NVDA,2026-06-26,call,75.0,119.66,2.0,121.6,2.0,120.63,119.95,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00080000,NVDA,2026-06-26,call,80.0,113.44,10.0,117.72,1.0,115.58,114.49,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00085000,NVDA,2026-06-26,call,85.0,108.86,2.0,113.79,3.0,111.325,109.89,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00090000,NVDA,2026-06-26,call,90.0,101.69,2.0,110.47,1.0,106.08,104.77,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00095000,NVDA,2026-06-26,call,95.0,99.36,2.0,102.79,1.0,101.075,99.92,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00100000,NVDA,2026-06-26,call,100.0,93.47,134.0,100.84,1.0,97.155,94.25,2.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00105000,NVDA,2026-06-26,call,105.0,88.12,2.0,93.65,1.0,90.885,90.18,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00110000,NVDA,2026-06-26,call,110.0,82.48,2.0,87.46,4.0,84.97,84.71,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00115000,NVDA,2026-06-26,call,115.0,78.24,2.0,83.03,2.0,80.63499999999999,79.71,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00120000,NVDA,2026-06-26,call,120.0,73.49,2.0,79.39,56.0,76.44,74.77,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00125000,NVDA,2026-06-26,call,125.0,68.36,2.0,73.86,2.0,71.11,70.01,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00130000,NVDA,2026-06-26,call,130.0,62.02,2.0,68.0,3.0,65.01,64.67,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00135000,NVDA,2026-06-26,call,135.0,58.57,2.0,62.72,2.0,60.644999999999996,59.61,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00140000,NVDA,2026-06-26,call,140.0,54.07,412.0,58.08,3.0,56.075,54.56,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00145000,NVDA,2026-06-26,call,145.0,47.83,2.0,52.24,105.0,50.035,49.69,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00150000,NVDA,2026-06-26,call,150.0,44.64,171.0,47.27,26.0,45.955,45.13,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00155000,NVDA,2026-06-26,call,155.0,38.33,2.0,43.28,1.0,40.805,40.42,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00160000,NVDA,2026-06-26,call,160.0,36.23,2.0,36.4,8.0,36.315,36.23,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00162500,NVDA,2026-06-26,call,162.5,32.729,9.0,32.94,5.0,32.8345,33.11,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00165000,NVDA,2026-06-26,call,165.0,28.28,2.0,30.39,3.0,29.335,29.38,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00167500,NVDA,2026-06-26,call,167.5,28.56,7.0,28.96,11.0,28.759999999999998,26.31,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00170000,NVDA,2026-06-26,call,170.0,25.95,10.0,29.13,1.0,27.54,24.35,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00172500,NVDA,2026-06-26,call,172.5,22.8,11.0,24.26,12.0,23.53,23.15,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00175000,NVDA,2026-06-26,call,175.0,20.85,68.0,21.26,5.0,21.055,20.96,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00177500,NVDA,2026-06-26,call,177.5,18.18,2.0,19.66,1.0,18.92,18.18,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00180000,NVDA,2026-06-26,call,180.0,15.71,30.0,16.14,6.0,15.925,15.77,4.0,1.1669,0.9161,0.0129,-0.9358,0.0158,0.0045,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00182500,NVDA,2026-06-26,call,182.5,13.17,20.0,14.98,1.0,14.075,13.17,5.0,1.3272,0.8466,0.0174,-1.6215,0.0242,0.0041,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00185000,NVDA,2026-06-26,call,185.0,10.86,6.0,12.28,1.0,11.57,10.86,3.0,1.1473,0.8278,0.0217,-1.512,0.0261,0.0041,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00187500,NVDA,2026-06-26,call,187.5,8.35,82.0,8.59,5.0,8.469999999999999,8.35,3.0,0.7298,0.8659,0.029,-0.8229,0.0221,0.0044,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00190000,NVDA,2026-06-26,call,190.0,6.07,58.0,6.75,3.0,6.41,6.2,2.0,0.7211,0.7791,0.0402,-1.1092,0.0304,0.004,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00192500,NVDA,2026-06-26,call,192.5,3.88,36.0,4.03,2.0,3.955,3.88,1.0,0.534,0.712,0.0625,-0.9453,0.0349,0.0037,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00195000,NVDA,2026-06-26,call,195.0,2.23,1.0,2.28,11.0,2.255,2.28,20.0,0.4951,0.5411,0.0783,-1.0153,0.0406,0.0028,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00197500,NVDA,2026-06-26,call,197.5,1.05,2.0,1.07,1.0,1.06,1.07,1.0,0.4656,0.3393,0.0769,-0.8784,0.0375,0.0018,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00200000,NVDA,2026-06-26,call,200.0,0.42,54.0,0.47,87.0,0.44499999999999995,0.47,1.0,0.4648,0.1756,0.0543,-0.6176,0.0264,0.0009,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00202500,NVDA,2026-06-26,call,202.5,0.18,276.0,0.19,8.0,0.185,0.18,1.0,0.4834,0.0828,0.0309,-0.379,0.0156,0.0004,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00205000,NVDA,2026-06-26,call,205.0,0.07,230.0,0.08,274.0,0.07500000000000001,0.07,1.0,0.5052,0.0368,0.0156,-0.2085,0.0082,0.0002,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00207500,NVDA,2026-06-26,call,207.5,0.01,546.0,0.05,67.0,0.030000000000000002,0.02,1.0,0.5276,0.0157,0.0073,-0.1067,0.004,0.0001,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00210000,NVDA,2026-06-26,call,210.0,0.03,591.0,0.04,81.0,0.035,0.03,1.0,0.6302,0.0154,0.006,-0.1253,0.004,0.0001,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00212500,NVDA,2026-06-26,call,212.5,0.03,201.0,0.04,727.0,0.035,0.03,11.0,0.7183,0.0137,0.0048,-0.1292,0.0036,0.0001,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00215000,NVDA,2026-06-26,call,215.0,0.0,0.0,0.03,13.0,0.015,0.01,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00217500,NVDA,2026-06-26,call,217.5,0.0,0.0,0.03,84.0,0.015,0.01,10.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
2026-06-25T20:31:37.898,2,1,NVDA260626C00220000,NVDA,2026-06-26,call,220.0,0.0,0.0,0.03,212.0,0.015,0.01,1.0,,,,,,,2026-06-25,200.07,200.79,192.17,195.89,3.897419e6,195.402381
