capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-07-06T20:33:57.121,2,4,OXY260710C00030000,OXY,2026-07-10,call,30.0,18.11,124.0,19.97,204.0,19.04,19.1,1.0,,,,,,,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00035000,OXY,2026-07-10,call,35.0,12.77,278.0,15.32,165.0,14.045,13.3,1.0,,,,,,,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00038000,OXY,2026-07-10,call,38.0,9.95,213.0,11.63,112.0,10.79,,,,,,,,,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00039000,OXY,2026-07-10,call,39.0,9.08,152.0,10.47,140.0,9.775,9.32,1.0,,,,,,,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00040000,OXY,2026-07-10,call,40.0,8.18,199.0,9.65,100.0,8.915,,,,,,,,,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00041000,OXY,2026-07-10,call,41.0,7.07,194.0,8.52,99.0,7.795,,,,,,,,,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00042000,OXY,2026-07-10,call,42.0,6.15,194.0,7.7,99.0,6.925000000000001,,,,,,,,,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00043000,OXY,2026-07-10,call,43.0,5.13,203.0,6.73,140.0,5.93,,,,,,,,,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00043500,OXY,2026-07-10,call,43.5,4.93,154.0,6.13,140.0,5.529999999999999,,,0.674,0.9567,0.0266,-0.0438,0.0047,0.0045,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00044000,OXY,2026-07-10,call,44.0,4.37,142.0,5.36,140.0,4.865,,,,,,,,,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00044500,OXY,2026-07-10,call,44.5,3.79,143.0,4.92,140.0,4.355,,,,,,,,,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00045000,OXY,2026-07-10,call,45.0,3.33,144.0,4.43,140.0,3.88,3.72,1.0,,,,,,,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00045500,OXY,2026-07-10,call,45.5,2.83,288.0,3.97,207.0,3.4000000000000004,3.4,1.0,,,,,,,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00046000,OXY,2026-07-10,call,46.0,2.43,282.0,3.45,211.0,2.9400000000000004,2.95,1.0,,,,,,,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00046500,OXY,2026-07-10,call,46.5,2.09,202.0,2.67,66.0,2.38,2.53,20.0,,,,,,,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00047000,OXY,2026-07-10,call,47.0,1.84,380.0,2.57,105.0,2.205,2.04,2.0,0.448,0.8156,0.116,-0.0802,0.0137,0.0041,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00047500,OXY,2026-07-10,call,47.5,1.55,70.0,1.69,323.0,1.62,1.65,19.0,0.3137,0.8275,0.1589,-0.0552,0.0131,0.0043,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00048000,OXY,2026-07-10,call,48.0,1.14,61.0,1.38,187.0,1.2599999999999998,1.3,3.0,0.3292,0.7249,0.1978,-0.0738,0.0171,0.0038,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
2026-07-06T20:33:57.121,2,4,OXY260710C00048500,OXY,2026-07-10,call,48.5,0.82,73.0,0.97,87.0,0.895,0.97,2.0,0.3111,0.6225,0.2384,-0.0787,0.0195,0.0032,2026-07-06,48.73,49.255,48.7,48.81,533644.0,48.953435
