capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-07-08T20:35:02.723,2,0,QQQ260708C00500000,QQQ,2026-07-08,call,500.0,213.42,2.0,214.99,2.0,214.20499999999998,213.13,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00505000,QQQ,2026-07-08,call,505.0,207.93,1.0,208.68,1.0,208.305,204.65,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00510000,QQQ,2026-07-08,call,510.0,196.97,1.0,199.74,1.0,198.35500000000002,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00515000,QQQ,2026-07-08,call,515.0,196.51,2.0,201.39,1.0,198.95,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00520000,QQQ,2026-07-08,call,520.0,190.42,10.0,191.3,1.0,190.86,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00525000,QQQ,2026-07-08,call,525.0,183.94,10.0,189.17,1.0,186.555,180.68,28.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00530000,QQQ,2026-07-08,call,530.0,177.95,10.0,186.28,1.0,182.115,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00535000,QQQ,2026-07-08,call,535.0,174.76,1.0,179.52,1.0,177.14,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00540000,QQQ,2026-07-08,call,540.0,170.41,1.0,172.74,3.0,171.575,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00545000,QQQ,2026-07-08,call,545.0,167.57,1.0,169.34,1.0,168.45499999999998,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00550000,QQQ,2026-07-08,call,550.0,157.97,1.0,163.26,1.0,160.615,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00555000,QQQ,2026-07-08,call,555.0,151.53,1.0,161.14,2.0,156.33499999999998,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00560000,QQQ,2026-07-08,call,560.0,151.77,1.0,155.85,1.0,153.81,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00565000,QQQ,2026-07-08,call,565.0,145.52,10.0,150.48,2.0,148.0,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00570000,QQQ,2026-07-08,call,570.0,139.77,1.0,145.43,2.0,142.60000000000002,136.44,9.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00575000,QQQ,2026-07-08,call,575.0,136.46,1.0,140.48,1.0,138.47,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00580000,QQQ,2026-07-08,call,580.0,128.65,2.0,133.74,3.0,131.195,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00585000,QQQ,2026-07-08,call,585.0,124.86,1.0,128.57,2.0,126.715,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00590000,QQQ,2026-07-08,call,590.0,119.62,9.0,122.25,2.0,120.935,123.42,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00595000,QQQ,2026-07-08,call,595.0,114.43,10.0,116.98,1.0,115.70500000000001,115.36,10.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00600000,QQQ,2026-07-08,call,600.0,111.54,10.0,115.4,1.0,113.47,103.13,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00605000,QQQ,2026-07-08,call,605.0,106.69,10.0,110.24,2.0,108.465,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00610000,QQQ,2026-07-08,call,610.0,99.08,10.0,102.86,1.0,100.97,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00615000,QQQ,2026-07-08,call,615.0,93.08,10.0,98.59,2.0,95.83500000000001,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00620000,QQQ,2026-07-08,call,620.0,87.9,10.0,91.78,1.0,89.84,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00625000,QQQ,2026-07-08,call,625.0,85.05,1.0,88.31,1.0,86.68,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00630000,QQQ,2026-07-08,call,630.0,78.04,2.0,83.39,1.0,80.715,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00635000,QQQ,2026-07-08,call,635.0,73.4,1.0,78.84,1.0,76.12,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00640000,QQQ,2026-07-08,call,640.0,68.65,10.0,72.09,1.0,70.37,66.67,4.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00645000,QQQ,2026-07-08,call,645.0,64.48,1.0,68.08,1.0,66.28,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00650000,QQQ,2026-07-08,call,650.0,60.72,2.0,61.38,2.0,61.05,58.96,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00655000,QQQ,2026-07-08,call,655.0,54.12,10.0,59.02,10.0,56.57,67.21,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00660000,QQQ,2026-07-08,call,660.0,48.99,9.0,52.84,10.0,50.915000000000006,49.71,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00661000,QQQ,2026-07-08,call,661.0,47.94,1.0,52.41,10.0,50.175,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00662000,QQQ,2026-07-08,call,662.0,47.01,10.0,52.11,1.0,49.56,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00663000,QQQ,2026-07-08,call,663.0,45.83,1.0,50.16,10.0,47.995,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00664000,QQQ,2026-07-08,call,664.0,45.55,1.0,48.61,1.0,47.08,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00665000,QQQ,2026-07-08,call,665.0,44.68,2.0,47.97,1.0,46.325,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00666000,QQQ,2026-07-08,call,666.0,43.24,10.0,46.72,1.0,44.980000000000004,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00667000,QQQ,2026-07-08,call,667.0,43.15,2.0,46.05,1.0,44.599999999999994,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00668000,QQQ,2026-07-08,call,668.0,41.44,10.0,45.05,1.0,43.245,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00669000,QQQ,2026-07-08,call,669.0,41.0,9.0,44.58,1.0,42.79,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00670000,QQQ,2026-07-08,call,670.0,39.23,9.0,44.22,2.0,41.724999999999994,40.42,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00671000,QQQ,2026-07-08,call,671.0,38.94,10.0,43.13,1.0,41.035,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00672000,QQQ,2026-07-08,call,672.0,36.9,12.0,40.97,1.0,38.935,29.89,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00673000,QQQ,2026-07-08,call,673.0,36.17,9.0,40.36,1.0,38.265,28.93,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00674000,QQQ,2026-07-08,call,674.0,35.52,9.0,39.38,1.0,37.45,,,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00675000,QQQ,2026-07-08,call,675.0,33.94,9.0,38.3,2.0,36.12,34.92,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00676000,QQQ,2026-07-08,call,676.0,34.1,10.0,37.26,1.0,35.68,33.72,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00677000,QQQ,2026-07-08,call,677.0,32.86,10.0,36.25,1.0,34.555,32.81,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00678000,QQQ,2026-07-08,call,678.0,31.37,2.0,35.23,2.0,33.3,30.9,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00679000,QQQ,2026-07-08,call,679.0,30.46,10.0,34.54,2.0,32.5,24.57,13.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00680000,QQQ,2026-07-08,call,680.0,29.28,9.0,33.3,9.0,31.29,31.93,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00681000,QQQ,2026-07-08,call,681.0,28.74,6.0,32.18,6.0,30.46,25.17,13.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00682000,QQQ,2026-07-08,call,682.0,27.17,1.0,31.18,1.0,29.175,19.99,15.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00683000,QQQ,2026-07-08,call,683.0,26.67,10.0,30.81,1.0,28.740000000000002,26.68,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00684000,QQQ,2026-07-08,call,684.0,25.8,2.0,29.39,2.0,27.595,25.77,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00685000,QQQ,2026-07-08,call,685.0,24.71,2.0,27.21,2.0,25.96,26.0,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00686000,QQQ,2026-07-08,call,686.0,23.67,2.0,27.07,2.0,25.37,23.86,1.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00687000,QQQ,2026-07-08,call,687.0,22.9,2.0,26.03,2.0,24.465,18.87,5.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
2026-07-08T20:35:02.723,2,0,QQQ260708C00688000,QQQ,2026-07-08,call,688.0,21.61,2.0,25.12,2.0,23.365000000000002,14.29,5.0,,,,,,,2026-07-08,704.94,712.235,700.98,711.37,544273.0,707.431885
