capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-07-15T20:31:03.764,2,0,INTC260715C00075000,INTC,2026-07-15,call,75.0,28.13,10.0,28.81,8.0,28.47,25.95,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00080000,INTC,2026-07-15,call,80.0,22.69,7.0,23.65,14.0,23.17,21.84,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00081000,INTC,2026-07-15,call,81.0,21.71,8.0,21.99,19.0,21.85,19.55,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00082000,INTC,2026-07-15,call,82.0,21.0,8.0,21.45,8.0,21.225,19.67,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00083000,INTC,2026-07-15,call,83.0,19.74,23.0,20.34,11.0,20.04,19.16,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00084000,INTC,2026-07-15,call,84.0,18.95,3.0,19.27,8.0,19.11,22.64,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00085000,INTC,2026-07-15,call,85.0,17.77,11.0,18.29,19.0,18.03,16.87,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00086000,INTC,2026-07-15,call,86.0,16.82,8.0,17.0,9.0,16.91,15.61,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00087000,INTC,2026-07-15,call,87.0,15.55,16.0,16.2,9.0,15.875,12.92,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00088000,INTC,2026-07-15,call,88.0,14.69,14.0,15.33,16.0,15.01,13.54,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00089000,INTC,2026-07-15,call,89.0,13.54,16.0,14.48,23.0,14.01,13.0,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00090000,INTC,2026-07-15,call,90.0,12.7,10.0,13.14,16.0,12.92,9.65,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00091000,INTC,2026-07-15,call,91.0,11.87,8.0,12.45,8.0,12.16,9.37,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00092000,INTC,2026-07-15,call,92.0,10.91,13.0,11.31,11.0,11.11,10.91,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00093000,INTC,2026-07-15,call,93.0,9.64,3.0,10.15,8.0,9.895,9.92,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00094000,INTC,2026-07-15,call,94.0,8.69,11.0,9.34,16.0,9.015,7.99,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00095000,INTC,2026-07-15,call,95.0,7.77,14.0,8.23,14.0,8.0,6.98,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00096000,INTC,2026-07-15,call,96.0,6.58,22.0,7.17,16.0,6.875,6.09,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00097000,INTC,2026-07-15,call,97.0,5.83,13.0,6.19,13.0,6.01,4.45,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00098000,INTC,2026-07-15,call,98.0,4.87,17.0,5.21,22.0,5.04,5.13,2.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00099000,INTC,2026-07-15,call,99.0,3.84,26.0,4.28,19.0,4.0600000000000005,4.03,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00100000,INTC,2026-07-15,call,100.0,2.83,32.0,3.18,16.0,3.005,3.07,4.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
2026-07-15T20:31:03.764,2,0,INTC260715C00101000,INTC,2026-07-15,call,101.0,1.77,44.0,2.21,45.0,1.99,2.1,1.0,,,,,,,2026-07-15,109.39,109.39,99.2,102.99,7.409391e6,102.134302
