capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-07-21T20:35:16.286,2,3,WMT260724C00065000,WMT,2026-07-24,call,65.0,44.51,142.0,46.21,34.0,45.36,45.9,1.0,,,,,,,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
2026-07-21T20:35:16.286,2,3,WMT260724C00070000,WMT,2026-07-24,call,70.0,39.56,128.0,42.86,44.0,41.21,40.97,1.0,,,,,,,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
2026-07-21T20:35:16.286,2,3,WMT260724C00075000,WMT,2026-07-24,call,75.0,34.6,123.0,35.7,16.0,35.150000000000006,40.04,1.0,,,,,,,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
2026-07-21T20:35:16.286,2,3,WMT260724C00080000,WMT,2026-07-24,call,80.0,29.22,124.0,31.73,31.0,30.475,31.45,1.0,,,,,,,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
2026-07-21T20:35:16.286,2,3,WMT260724C00085000,WMT,2026-07-24,call,85.0,23.36,142.0,26.99,32.0,25.174999999999997,26.47,1.0,,,,,,,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
2026-07-21T20:35:16.286,2,3,WMT260724C00090000,WMT,2026-07-24,call,90.0,19.05,124.0,22.24,34.0,20.645,21.5,1.0,,,,,,,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
2026-07-21T20:35:16.286,2,3,WMT260724C00095000,WMT,2026-07-24,call,95.0,14.28,121.0,17.27,47.0,15.774999999999999,16.079,1.0,,,,,,,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
2026-07-21T20:35:16.286,2,3,WMT260724C00096000,WMT,2026-07-24,call,96.0,13.62,145.0,15.15,29.0,14.385,,,0.89,0.9604,0.0096,-0.1359,0.0085,0.0075,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
2026-07-21T20:35:16.286,2,3,WMT260724C00097000,WMT,2026-07-24,call,97.0,12.72,144.0,13.68,29.0,13.2,,,,,,,,,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
2026-07-21T20:35:16.286,2,3,WMT260724C00098000,WMT,2026-07-24,call,98.0,11.78,132.0,13.0,14.0,12.39,,,0.7847,0.9545,0.0122,-0.1342,0.0096,0.0076,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
2026-07-21T20:35:16.286,2,3,WMT260724C00099000,WMT,2026-07-24,call,99.0,9.76,122.0,13.25,26.0,11.504999999999999,11.3,1.0,0.8268,0.9296,0.0163,-0.1948,0.0135,0.0075,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
2026-07-21T20:35:16.286,2,3,WMT260724C00100000,WMT,2026-07-24,call,100.0,9.03,129.0,12.39,46.0,10.71,10.4,1.0,0.8919,0.8937,0.0206,-0.2813,0.0183,0.0072,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
2026-07-21T20:35:16.286,2,3,WMT260724C00101000,WMT,2026-07-24,call,101.0,8.2,175.0,11.46,33.0,9.83,9.35,1.0,0.8847,0.8711,0.0238,-0.3183,0.021,0.0071,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
2026-07-21T20:35:16.286,2,3,WMT260724C00102000,WMT,2026-07-24,call,102.0,7.27,140.0,9.8,45.0,8.535,9.55,1.0,0.6631,0.907,0.0251,-0.1928,0.0166,0.0075,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
2026-07-21T20:35:16.286,2,3,WMT260724C00103000,WMT,2026-07-24,call,103.0,6.85,140.0,8.18,29.0,7.515,10.83,1.0,0.5889,0.9031,0.0291,-0.1773,0.0171,0.0076,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
2026-07-21T20:35:16.286,2,3,WMT260724C00104000,WMT,2026-07-24,call,104.0,5.72,142.0,7.04,35.0,6.38,9.85,1.0,0.4418,0.93,0.0304,-0.1084,0.0134,0.0079,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
2026-07-21T20:35:16.286,2,3,WMT260724C00105000,WMT,2026-07-24,call,105.0,5.02,313.0,6.9,102.0,5.96,5.85,5.0,0.6472,0.805,0.0426,-0.3054,0.0275,0.0068,2026-07-21,111.51,111.78,109.9,110.335,1.293685e6,110.655446
