capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-09-01T20:33:20.366,2,3,BAC260904C00035000,BAC,2026-09-04,call,35.0,24.86,160.0,28.6,22.0,26.73,27.0,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00040000,BAC,2026-09-04,call,40.0,20.12,194.0,23.79,24.0,21.955,21.84,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00045000,BAC,2026-09-04,call,45.0,15.33,176.0,19.2,9.0,17.265,17.03,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00049000,BAC,2026-09-04,call,49.0,11.68,161.0,14.27,9.0,12.975,12.9,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00050000,BAC,2026-09-04,call,50.0,10.86,192.0,13.27,2.0,12.065,11.97,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00051000,BAC,2026-09-04,call,51.0,9.49,217.0,12.84,127.0,11.165,11.0,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00052000,BAC,2026-09-04,call,52.0,9.85,32.0,12.17,66.0,11.01,10.04,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00053000,BAC,2026-09-04,call,53.0,8.66,2.0,11.0,87.0,9.83,9.04,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00054000,BAC,2026-09-04,call,54.0,6.67,462.0,9.28,349.0,7.975,7.93,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00055000,BAC,2026-09-04,call,55.0,6.76,109.0,7.43,6.0,7.095,6.98,1.0,0.745,0.9654,0.0183,-0.0587,0.0043,0.0043,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00056000,BAC,2026-09-04,call,56.0,5.83,110.0,6.12,10.0,5.975,5.98,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00057000,BAC,2026-09-04,call,57.0,4.88,110.0,5.13,6.0,5.005,5.0,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00058000,BAC,2026-09-04,call,58.0,3.8,323.0,4.14,6.0,3.9699999999999998,3.96,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00059000,BAC,2026-09-04,call,59.0,2.91,529.0,3.14,96.0,3.0250000000000004,3.14,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00060000,BAC,2026-09-04,call,60.0,1.96,80.0,2.11,39.0,2.035,1.97,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00061000,BAC,2026-09-04,call,61.0,1.1,221.0,1.18,18.0,1.1400000000000001,1.1,7.0,0.1973,0.8296,0.2285,-0.0518,0.0143,0.0041,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00062000,BAC,2026-09-04,call,62.0,0.41,202.0,0.49,123.0,0.44999999999999996,0.43,2.0,0.192,0.5176,0.3692,-0.0748,0.0224,0.0026,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00063000,BAC,2026-09-04,call,63.0,0.09,171.0,0.15,4.0,0.12,0.11,1.0,0.1968,0.1968,0.2505,-0.0523,0.0156,0.001,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00064000,BAC,2026-09-04,call,64.0,0.01,680.0,0.06,957.0,0.034999999999999996,0.03,2.0,0.2243,0.0642,0.0996,-0.0268,0.0071,0.0003,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00065000,BAC,2026-09-04,call,65.0,0.0,0.0,0.01,230.0,0.005,0.01,3.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00066000,BAC,2026-09-04,call,66.0,0.0,0.0,0.03,78.0,0.015,0.01,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00067000,BAC,2026-09-04,call,67.0,0.0,0.0,0.01,44.0,0.005,0.01,2.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00068000,BAC,2026-09-04,call,68.0,0.0,0.0,0.03,12.0,0.015,0.01,6.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00069000,BAC,2026-09-04,call,69.0,0.0,0.0,0.01,20.0,0.005,0.01,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00070000,BAC,2026-09-04,call,70.0,0.0,0.0,0.01,95.0,0.005,0.01,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00071000,BAC,2026-09-04,call,71.0,0.0,0.0,0.24,65.0,0.12,0.01,5.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00072000,BAC,2026-09-04,call,72.0,0.0,0.0,0.04,5.0,0.02,0.02,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00073000,BAC,2026-09-04,call,73.0,0.0,0.0,0.24,11.0,0.12,0.01,5.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00074000,BAC,2026-09-04,call,74.0,0.0,0.0,0.04,3.0,0.02,0.01,1.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00075000,BAC,2026-09-04,call,75.0,0.0,0.0,0.04,4.0,0.02,0.02,3.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
2026-09-01T20:33:20.366,2,3,BAC260904C00076000,BAC,2026-09-04,call,76.0,0.0,0.0,0.01,1.0,0.005,0.01,5.0,,,,,,,2026-09-01,61.92,62.825,61.73,62.01,1.587316e6,62.166539
