capture_ts,target_dte,actual_dte,symbol,underlying,expiration,type,strike,bid,bid_size,ask,ask_size,mid,last_price,last_size,implied_vol,delta,gamma,theta,vega,rho,und_session_date,und_open,und_high,und_low,und_close,und_volume,und_vwap
2026-04-14T00:18:59.526,4,4,AMD260417C00105000,AMD,2026-04-17,call,105.0,139.74,34.0,140.7,83.0,140.22,140.7,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00110000,AMD,2026-04-17,call,110.0,138.49,40.0,138.72,56.0,138.60500000000002,137.21,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00115000,AMD,2026-04-17,call,115.0,133.79,24.0,134.64,38.0,134.21499999999997,128.15,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00120000,AMD,2026-04-17,call,120.0,128.87,27.0,129.72,32.0,129.29500000000002,125.28,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00125000,AMD,2026-04-17,call,125.0,120.66,25.0,121.51,30.0,121.08500000000001,121.51,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00130000,AMD,2026-04-17,call,130.0,117.81,174.0,118.46,176.0,118.13499999999999,116.95,5.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00135000,AMD,2026-04-17,call,135.0,112.04,50.0,112.89,73.0,112.465,111.53,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00140000,AMD,2026-04-17,call,140.0,108.61,173.0,109.41,170.0,109.00999999999999,107.14,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00145000,AMD,2026-04-17,call,145.0,101.04,34.0,103.29,41.0,102.165,101.91,4.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00150000,AMD,2026-04-17,call,150.0,96.51,30.0,99.03,44.0,97.77000000000001,95.72,3.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00155000,AMD,2026-04-17,call,155.0,91.27,52.0,94.03,58.0,92.65,90.62,10.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00160000,AMD,2026-04-17,call,160.0,86.15,150.0,87.24,145.0,86.695,86.58,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00165000,AMD,2026-04-17,call,165.0,80.83,34.0,82.32,44.0,81.57499999999999,79.69,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00170000,AMD,2026-04-17,call,170.0,76.29,167.0,76.37,167.0,76.33000000000001,76.0,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00175000,AMD,2026-04-17,call,175.0,72.92,170.0,73.62,170.0,73.27000000000001,71.72,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00177500,AMD,2026-04-17,call,177.5,69.2,27.0,69.85,76.0,69.525,68.24,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00180000,AMD,2026-04-17,call,180.0,65.77,169.0,67.17,87.0,66.47,67.17,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00182500,AMD,2026-04-17,call,182.5,63.04,56.0,65.99,49.0,64.515,36.37,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00185000,AMD,2026-04-17,call,185.0,61.64,178.0,62.34,88.0,61.99,61.95,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00187500,AMD,2026-04-17,call,187.5,58.33,35.0,58.95,55.0,58.64,58.02,3.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00190000,AMD,2026-04-17,call,190.0,56.89,176.0,57.24,179.0,57.065,56.95,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00192500,AMD,2026-04-17,call,192.5,54.44,27.0,55.93,38.0,55.185,54.65,8.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00195000,AMD,2026-04-17,call,195.0,50.8,153.0,53.41,145.0,52.105,51.9,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00197500,AMD,2026-04-17,call,197.5,49.68,179.0,49.83,169.0,49.754999999999995,47.4,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00200000,AMD,2026-04-17,call,200.0,47.56,170.0,48.06,163.0,47.81,47.56,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00202500,AMD,2026-04-17,call,202.5,44.31,175.0,45.3,167.0,44.805,43.29,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00205000,AMD,2026-04-17,call,205.0,42.42,169.0,43.02,73.0,42.72,42.12,1.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00207500,AMD,2026-04-17,call,207.5,39.22,161.0,39.53,164.0,39.375,38.72,1.0,0.698,0.9921,0.0012,-0.0696,0.0056,0.0225,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00210000,AMD,2026-04-17,call,210.0,36.82,168.0,36.89,144.0,36.855000000000004,36.89,15.0,0.6123,0.9947,0.001,-0.0511,0.004,0.0229,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00212500,AMD,2026-04-17,call,212.5,33.69,181.0,35.53,165.0,34.61,33.5,1.0,0.8,0.9664,0.0036,-0.2133,0.0193,0.0223,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00215000,AMD,2026-04-17,call,215.0,31.77,178.0,32.78,165.0,32.275,32.58,1.0,0.8184,0.951,0.0048,-0.2883,0.0262,0.0222,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00217500,AMD,2026-04-17,call,217.5,30.0,183.0,30.44,162.0,30.22,30.0,13.0,0.896,0.9187,0.0065,-0.4552,0.0389,0.0215,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00220000,AMD,2026-04-17,call,220.0,26.98,67.0,27.53,145.0,27.255000000000003,27.31,1.0,0.6996,0.9461,0.0061,-0.2678,0.0283,0.0226,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00222500,AMD,2026-04-17,call,222.5,24.86,153.0,25.58,149.0,25.22,24.86,1.0,0.7714,0.9076,0.0083,-0.4324,0.0428,0.0218,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00225000,AMD,2026-04-17,call,225.0,22.18,171.0,22.7,169.0,22.439999999999998,22.53,1.0,0.6415,0.9212,0.0089,-0.3249,0.038,0.0225,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00227500,AMD,2026-04-17,call,227.5,19.81,63.0,20.38,158.0,20.095,20.38,5.0,0.6188,0.9018,0.0108,-0.3662,0.0447,0.0222,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00230000,AMD,2026-04-17,call,230.0,18.07,2.0,18.27,94.0,18.17,18.07,2.0,0.6638,0.8535,0.0134,-0.5111,0.0593,0.0211,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00232500,AMD,2026-04-17,call,232.5,15.47,118.0,15.6,137.0,15.535,15.6,5.0,0.5725,0.8482,0.0159,-0.4539,0.0607,0.0212,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00235000,AMD,2026-04-17,call,235.0,13.6,29.0,13.72,166.0,13.66,13.7,6.0,0.5931,0.7947,0.0186,-0.5628,0.0735,0.02,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00237500,AMD,2026-04-17,call,237.5,11.27,196.0,11.7,162.0,11.485,11.58,1.0,0.5565,0.7553,0.0219,-0.582,0.0811,0.0192,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00240000,AMD,2026-04-17,call,240.0,9.78,12.0,9.8,93.0,9.79,9.78,5.0,0.5643,0.6934,0.0241,-0.6558,0.0907,0.0177,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00242500,AMD,2026-04-17,call,242.5,7.91,181.0,8.13,243.0,8.02,8.13,4.0,0.5467,0.6326,0.0267,-0.6798,0.0973,0.0162,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00245000,AMD,2026-04-17,call,245.0,6.46,164.0,6.61,192.0,6.535,6.5,1.0,0.5422,0.5637,0.0281,-0.7028,0.1017,0.0145,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00247500,AMD,2026-04-17,call,247.5,5.13,56.0,5.28,121.0,5.205,5.26,15.0,0.5357,0.4923,0.0288,-0.7016,0.103,0.0127,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00250000,AMD,2026-04-17,call,250.0,4.17,32.0,4.22,144.0,4.195,4.17,15.0,0.5432,0.4227,0.0279,-0.6966,0.1011,0.011,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00252500,AMD,2026-04-17,call,252.5,3.12,31.0,3.2,30.0,3.16,3.17,1.0,0.531,0.352,0.0271,-0.6448,0.0959,0.0092,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00255000,AMD,2026-04-17,call,255.0,2.42,9.0,2.48,1.0,2.45,2.43,1.0,0.5356,0.2905,0.0248,-0.5994,0.0885,0.0076,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00257500,AMD,2026-04-17,call,257.5,1.77,36.0,1.84,152.0,1.8050000000000002,1.81,2.0,0.5311,0.2319,0.0222,-0.5287,0.0788,0.0061,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00260000,AMD,2026-04-17,call,260.0,1.31,68.0,1.35,52.0,1.33,1.35,1.0,0.5315,0.1826,0.0193,-0.4587,0.0684,0.0048,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00262500,AMD,2026-04-17,call,262.5,0.95,32.0,1.03,10.0,0.99,0.99,1.0,0.5365,0.143,0.0163,-0.3946,0.0583,0.0038,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00265000,AMD,2026-04-17,call,265.0,0.72,69.0,0.76,75.0,0.74,0.72,1.0,0.5436,0.1115,0.0135,-0.3359,0.049,0.0029,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00267500,AMD,2026-04-17,call,267.5,0.49,50.0,0.52,20.0,0.505,0.52,1.0,0.5394,0.0815,0.0108,-0.2645,0.0389,0.0021,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00270000,AMD,2026-04-17,call,270.0,0.39,80.0,0.41,174.0,0.4,0.39,1.0,0.5557,0.0652,0.0089,-0.2297,0.0328,0.0017,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00272500,AMD,2026-04-17,call,272.5,0.24,304.0,0.3,1.0,0.27,0.26,1.0,0.5534,0.0467,0.0068,-0.1756,0.0252,0.0012,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00275000,AMD,2026-04-17,call,275.0,0.18,150.0,0.23,128.0,0.20500000000000002,0.21,1.0,0.5647,0.0361,0.0054,-0.1454,0.0205,0.001,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00277500,AMD,2026-04-17,call,277.5,0.16,210.0,0.17,100.0,0.165,0.16,6.0,0.5811,0.0291,0.0044,-0.1252,0.0171,0.0008,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00280000,AMD,2026-04-17,call,280.0,0.13,499.0,0.14,30.0,0.135,0.13,1.0,0.5982,0.0238,0.0036,-0.1088,0.0145,0.0006,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00282500,AMD,2026-04-17,call,282.5,0.05,243.0,0.07,35.0,0.060000000000000005,0.07,1.0,0.5646,0.0121,0.0022,-0.0577,0.0081,0.0003,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00285000,AMD,2026-04-17,call,285.0,0.08,163.0,0.09,14.0,0.08499999999999999,0.06,150.0,0.6245,0.0152,0.0024,-0.0774,0.0099,0.0004,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00287500,AMD,2026-04-17,call,287.5,0.05,207.0,0.08,282.0,0.065,0.05,1.0,0.6338,0.0118,0.0019,-0.0631,0.0079,0.0003,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00290000,AMD,2026-04-17,call,290.0,0.04,306.0,0.07,414.0,0.05500000000000001,0.04,1.0,0.6508,0.0099,0.0016,-0.0556,0.0068,0.0003,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00292500,AMD,2026-04-17,call,292.5,0.03,196.0,0.06,397.0,0.045,0.02,5.0,0.6644,0.0081,0.0013,-0.0476,0.0057,0.0002,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00295000,AMD,2026-04-17,call,295.0,0.01,249.0,0.03,370.0,0.02,0.03,1.0,0.6343,0.004,0.0007,-0.0244,0.0031,0.0001,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00297500,AMD,2026-04-17,call,297.5,0.01,11.0,0.05,315.0,0.030000000000000002,0.03,1.0,0.6897,0.0054,0.0009,-0.0346,0.004,0.0001,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00300000,AMD,2026-04-17,call,300.0,0.0,0.0,0.01,102.0,0.005,0.01,20.0,,,,,,,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
2026-04-14T00:18:59.526,4,4,AMD260417C00302500,AMD,2026-04-17,call,302.5,0.01,80.0,0.04,145.0,0.025,0.01,20.0,0.7296,0.0043,0.0007,-0.0302,0.0033,0.0001,2026-04-13,245.025,247.285,242.08,246.8,387421.0,245.291079
