period,ticker,origin,endpoint,horizon,origin_spot,observed,daily_variance,daily_drift,return_count,stock_feature_age,market_feature_age
2025,GS,2025-01-02,2025-01-03,1,574.97,580.13,0.000338546417456336,0.0,2767,0,0
2025,GS,2025-01-02,2025-01-10,5,574.97,560.0,0.000338546417456336,0.0,2767,0,0
2025,GS,2025-01-03,2025-01-06,1,580.13,583.39,0.0003307847036769376,0.0,2768,0,0
2025,GS,2025-01-03,2025-01-13,5,580.13,562.95,0.0003307847036769376,0.0,2768,0,0
2025,GS,2025-01-06,2025-01-07,1,583.39,580.12,0.0003218032061881507,0.0,2769,0,0
2025,GS,2025-01-06,2025-01-14,5,583.39,571.53,0.0003218032061881507,0.0,2769,0,0
2025,GS,2025-01-07,2025-01-08,1,580.12,580.02,0.00031309695822013807,0.0,2770,0,0
2025,GS,2025-01-07,2025-01-15,5,580.12,605.92,0.00031309695822013807,0.0,2770,0,0
2025,GS,2025-01-08,2025-01-10,1,580.02,560.0,0.0003037049410537979,0.0,2771,0,0
2025,GS,2025-01-08,2025-01-16,5,580.02,612.99,0.0003037049410537979,0.0,2771,0,0
2025,GS,2025-01-10,2025-01-13,1,560.0,562.95,0.00033160845175457987,0.0,2772,0,0
2025,GS,2025-01-10,2025-01-17,5,560.0,625.94,0.00033160845175457987,0.0,2772,0,0
2025,GS,2025-01-13,2025-01-14,1,562.95,571.53,0.0003224883433030778,0.0,2773,0,0
2025,GS,2025-01-13,2025-01-21,5,562.95,634.74,0.0003224883433030778,0.0,2773,0,0
2025,GS,2025-01-14,2025-01-15,1,571.53,605.92,0.00031967771544395596,0.0,2774,0,0
2025,GS,2025-01-14,2025-01-22,5,571.53,632.73,0.00031967771544395596,0.0,2774,0,0
2025,GS,2025-01-15,2025-01-16,1,605.92,612.99,0.0004125127977484594,0.0,2775,0,0
2025,GS,2025-01-15,2025-01-23,5,605.92,639.5,0.0004125127977484594,0.0,2775,0,0
2025,GS,2025-01-16,2025-01-17,1,612.99,625.94,0.0004041746721004412,0.0,2776,0,0
2025,GS,2025-01-16,2025-01-24,5,612.99,636.9,0.0004041746721004412,0.0,2776,0,0
2025,GS,2025-01-17,2025-01-21,1,625.94,634.74,0.00040516112815947616,0.0,2777,0,0
2025,GS,2025-01-17,2025-01-27,5,625.94,633.28,0.00040516112815947616,0.0,2777,0,0
2025,GS,2025-01-21,2025-01-22,1,634.74,632.73,0.00039885353501737845,0.0,2778,0,0
2025,GS,2025-01-21,2025-01-28,5,634.74,637.8,0.00039885353501737845,0.0,2778,0,0
2025,GS,2025-01-22,2025-01-23,1,632.73,639.5,0.00038718971470474436,0.0,2779,0,0
2025,GS,2025-01-22,2025-01-29,5,632.73,637.38,0.00038718971470474436,0.0,2779,0,0
2025,GS,2025-01-23,2025-01-24,1,639.5,636.9,0.0003789721182737391,0.0,2780,0,0
2025,GS,2025-01-23,2025-01-30,5,639.5,645.7,0.0003789721182737391,0.0,2780,0,0
2025,GS,2025-01-24,2025-01-27,1,636.9,633.28,0.00036810087011811374,0.0,2781,0,0
2025,GS,2025-01-24,2025-01-31,5,636.9,640.4,0.00036810087011811374,0.0,2781,0,0
2025,GS,2025-01-27,2025-01-28,1,633.28,637.8,0.00035803254229195786,0.0,2782,0,0
2025,GS,2025-01-27,2025-02-03,5,633.28,632.37,0.00035803254229195786,0.0,2782,0,0
2025,GS,2025-01-28,2025-01-29,1,637.8,637.38,0.00034880902167071855,0.0,2783,0,0
2025,GS,2025-01-28,2025-02-04,5,637.8,634.18,0.00034880902167071855,0.0,2783,0,0
2025,GS,2025-01-29,2025-01-30,1,637.38,645.7,0.00033835776879895843,0.0,2784,0,0
2025,GS,2025-01-29,2025-02-05,5,637.38,645.45,0.00033835776879895843,0.0,2784,0,0
2025,GS,2025-01-30,2025-01-31,1,645.7,640.4,0.00033325286558807504,0.0,2785,0,0
2025,GS,2025-01-30,2025-02-06,5,645.7,658.22,0.00033325286558807504,0.0,2785,0,0
2025,GS,2025-01-31,2025-02-03,1,640.4,632.37,0.0003252932056939399,0.0,2786,0,0
2025,GS,2025-01-31,2025-02-07,5,640.4,655.9,0.0003252932056939399,0.0,2786,0,0
2025,GS,2025-02-03,2025-02-04,1,632.37,634.18,0.0003203110659100059,0.0,2787,0,0
2025,GS,2025-02-03,2025-02-10,5,632.37,650.53,0.0003203110659100059,0.0,2787,0,0
2025,GS,2025-02-04,2025-02-05,1,634.18,645.45,0.000310946806278946,0.0,2788,0,0
2025,GS,2025-02-04,2025-02-11,5,634.18,647.24,0.000310946806278946,0.0,2788,0,0
2025,GS,2025-02-05,2025-02-06,1,645.45,658.22,0.00031092696654932094,0.0,2789,0,0
2025,GS,2025-02-05,2025-02-12,5,645.45,649.0,0.00031092696654932094,0.0,2789,0,0
2025,GS,2025-02-06,2025-02-07,1,658.22,655.9,0.0003131139331527094,0.0,2790,0,0
2025,GS,2025-02-06,2025-02-13,5,658.22,648.95,0.0003131139331527094,0.0,2790,0,0
2025,GS,2025-02-07,2025-02-10,1,655.9,650.53,0.00030409452933837953,0.0,2791,0,0
2025,GS,2025-02-07,2025-02-14,5,655.9,660.55,0.00030409452933837953,0.0,2791,0,0
2025,GS,2025-02-10,2025-02-11,1,650.53,647.24,0.0002969992007271483,0.0,2792,0,0
2025,GS,2025-02-10,2025-02-18,5,650.53,672.19,0.0002969992007271483,0.0,2792,0,0
2025,GS,2025-02-11,2025-02-12,1,647.24,649.0,0.000288860446761823,0.0,2793,0,0
2025,GS,2025-02-11,2025-02-19,5,647.24,668.15,0.000288860446761823,0.0,2793,0,0
2025,GS,2025-02-12,2025-02-13,1,649.0,648.95,0.0002804158594152805,0.0,2794,0,0
2025,GS,2025-02-12,2025-02-20,5,649.0,642.26,0.0002804158594152805,0.0,2794,0,0
2025,GS,2025-02-13,2025-02-14,1,648.95,660.55,0.00027200356170879655,0.0,2795,0,0
2025,GS,2025-02-13,2025-02-21,5,648.95,625.6,0.00027200356170879655,0.0,2795,0,0
2025,GS,2025-02-14,2025-02-18,1,660.55,672.19,0.0002732603761207866,0.0,2796,0,0
2025,GS,2025-02-14,2025-02-24,5,660.55,626.14,0.0002732603761207866,0.0,2796,0,0
2025,GS,2025-02-18,2025-02-19,1,672.19,668.15,0.00027421672333900326,0.0,2797,0,0
2025,GS,2025-02-18,2025-02-25,5,672.19,614.91,0.00027421672333900326,0.0,2797,0,0
2025,GS,2025-02-19,2025-02-20,1,668.15,642.26,0.00026708044792676593,0.0,2798,0,0
2025,GS,2025-02-19,2025-02-26,5,668.15,617.77,0.00026708044792676593,0.0,2798,0,0
