period,ticker,horizon,method,mean_crps_change,median_crps_change,dates_better,n_dates
2025,GS,1,Adaptive volatility,0.08106097245476773,0.1728875704690327,94,249
2025,GS,1,Directional,0.08106097245476773,0.1728875704690327,94,249
2025,GS,5,Adaptive volatility,0.10218074004807706,0.5910385168125902,103,245
2025,GS,5,Directional,0.10218074004807706,0.5910385168125902,103,245
2025,LLY,1,Adaptive volatility,-0.033213359262027405,0.3038894405613588,113,249
2025,LLY,1,Directional,-0.033213359262027405,0.3038894405613588,113,249
2025,LLY,5,Adaptive volatility,-1.0322348413218003,-0.7135004371931366,131,245
2025,LLY,5,Directional,-1.0322348413218003,-0.7135004371931366,131,245
2026,GS,1,Adaptive volatility,0.7208889036448297,1.6644403829932437,6,21
2026,GS,1,Directional,0.7208889036448297,1.6644403829932437,6,21
2026,GS,5,Adaptive volatility,2.552902749739861,3.1699907217392376,2,17
2026,GS,5,Directional,2.552902749739861,3.1699907217392376,2,17
2026,LLY,1,Adaptive volatility,-0.2524375702595624,0.5104258187843902,9,21
2026,LLY,1,Directional,-0.2524375702595624,0.5104258187843902,9,21
2026,LLY,5,Adaptive volatility,-1.7956537917849247,-2.464597657640738,10,17
2026,LLY,5,Directional,-1.7956537917849247,-2.464597657640738,10,17
